Position,Track Name,Artist,Streams,URL,Date,Region
1,Reggaetón Lento (Bailemos),CNCO,16672,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-02,ec
2,Chantaje,Shakira,15594,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-02,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,13507,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-02,ec
4,Safari,J Balvin,11958,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-02,ec
5,Vente Pa' Ca,Ricky Martin,11590,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-02,ec
6,Let Me Love You,DJ Snake,9096,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,ec
7,Ay Mi Dios,IAmChino,9023,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-02,ec
8,Traicionera,Sebastian Yatra,8511,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-02,ec
9,La Bicicleta,Carlos Vives,8288,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-02,ec
10,Vacaciones,Wisin,8205,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-02,ec
1,Reggaetón Lento (Bailemos),CNCO,16652,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-09,ec
2,Chantaje,Shakira,15212,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-09,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,13197,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-09,ec
4,Shape of You,Ed Sheeran,12200,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-01-09,ec
5,Safari,J Balvin,11144,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-09,ec
6,Vente Pa' Ca,Ricky Martin,10843,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-09,ec
7,Let Me Love You,DJ Snake,9479,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-09,ec
8,Vacaciones,Wisin,9441,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-09,ec
9,Ay Mi Dios,IAmChino,9411,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-09,ec
10,Dile Que Tu Me Quieres,Ozuna,8410,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,2017-01-09,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,29118,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-01-16,ec
2,Reggaetón Lento (Bailemos),CNCO,16253,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-16,ec
3,Chantaje,Shakira,15159,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-16,ec
4,Shape of You,Ed Sheeran,14311,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-01-16,ec
5,Otra Vez (feat. J Balvin),Zion & Lennox,13653,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-16,ec
6,Safari,J Balvin,11599,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-16,ec
7,Vacaciones,Wisin,10383,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-16,ec
8,Vente Pa' Ca,Ricky Martin,9941,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-16,ec
9,Ay Mi Dios,IAmChino,9784,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-16,ec
10,Let Me Love You,DJ Snake,9565,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-16,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,53278,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-01-23,ec
2,Reggaetón Lento (Bailemos),CNCO,17251,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-23,ec
3,Chantaje,Shakira,15613,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-23,ec
4,Shape of You,Ed Sheeran,15598,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-01-23,ec
5,Otra Vez (feat. J Balvin),Zion & Lennox,14131,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-23,ec
6,El Amante,Nicky Jam,14027,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-01-23,ec
7,Vacaciones,Wisin,12578,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-23,ec
8,Safari,J Balvin,12255,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-23,ec
9,Ay Mi Dios,IAmChino,10891,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-23,ec
10,Vente Pa' Ca,Ricky Martin,10438,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-23,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,48973,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-01-30,ec
2,Reggaetón Lento (Bailemos),CNCO,16912,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-30,ec
3,Shape of You,Ed Sheeran,16335,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-01-30,ec
4,El Amante,Nicky Jam,15777,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-01-30,ec
5,Chantaje,Shakira,15064,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-30,ec
6,Otra Vez (feat. J Balvin),Zion & Lennox,14057,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-30,ec
7,Vacaciones,Wisin,12469,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-30,ec
8,Safari,J Balvin,11446,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-30,ec
9,Ay Mi Dios,IAmChino,10369,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-30,ec
10,Vente Pa' Ca,Ricky Martin,9930,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-30,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,44043,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-02-06,ec
2,Shape of You,Ed Sheeran,19508,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-06,ec
3,El Amante,Nicky Jam,18408,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-02-06,ec
4,Reggaetón Lento (Bailemos),CNCO,16548,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-02-06,ec
5,Chantaje,Shakira,14598,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-02-06,ec
6,Otra Vez (feat. J Balvin),Zion & Lennox,13727,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-02-06,ec
7,Vacaciones,Wisin,12453,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-02-06,ec
8,Safari,J Balvin,10919,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-02-06,ec
9,Ay Mi Dios,IAmChino,10137,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-02-06,ec
10,Vente Pa' Ca,Ricky Martin,9738,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-02-06,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,38714,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-02-13,ec
2,Shape of You,Ed Sheeran,21588,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-13,ec
3,El Amante,Nicky Jam,18992,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-02-13,ec
4,Reggaetón Lento (Bailemos),CNCO,15550,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-02-13,ec
5,Otra Vez (feat. J Balvin),Zion & Lennox,13641,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-02-13,ec
6,Chantaje,Shakira,13352,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-02-13,ec
7,Vacaciones,Wisin,11870,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-02-13,ec
8,Safari,J Balvin,10470,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-02-13,ec
9,Me Rehúso,Danny Ocean,10392,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-02-13,ec
10,Ay Mi Dios,IAmChino,10011,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-02-13,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,29642,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-02-20,ec
2,Shape of You,Ed Sheeran,19496,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-20,ec
3,El Amante,Nicky Jam,15832,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-02-20,ec
4,Reggaetón Lento (Bailemos),CNCO,12545,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-02-20,ec
5,Otra Vez (feat. J Balvin),Zion & Lennox,10777,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-02-20,ec
6,Chantaje,Shakira,10756,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-02-20,ec
7,Me Rehúso,Danny Ocean,9606,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-02-20,ec
8,Vacaciones,Wisin,9439,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-02-20,ec
9,Safari,J Balvin,8323,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-02-20,ec
10,Ay Mi Dios,IAmChino,7966,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-02-20,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,33056,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-02-27,ec
2,Shape of You,Ed Sheeran,18046,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-02-27,ec
3,El Amante,Nicky Jam,17495,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-02-27,ec
4,Reggaetón Lento (Bailemos),CNCO,14516,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-02-27,ec
5,Otra Vez (feat. J Balvin),Zion & Lennox,13358,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-02-27,ec
6,Chantaje,Shakira,12710,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-02-27,ec
7,Me Rehúso,Danny Ocean,12525,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-02-27,ec
8,Vacaciones,Wisin,11650,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-02-27,ec
9,Safari,J Balvin,9946,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-02-27,ec
10,Ay Mi Dios,IAmChino,9945,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-02-27,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,28842,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-03-06,ec
2,Shape of You,Ed Sheeran,24437,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-06,ec
3,El Amante,Nicky Jam,17284,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-03-06,ec
4,Me Rehúso,Danny Ocean,14553,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-03-06,ec
5,Reggaetón Lento (Bailemos),CNCO,12781,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-03-06,ec
6,Otra Vez (feat. J Balvin),Zion & Lennox,11874,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-03-06,ec
7,SUBEME LA RADIO,Enrique Iglesias,11745,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-03-06,ec
8,Chantaje,Shakira,11028,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-03-06,ec
9,Vacaciones,Wisin,10436,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-03-06,ec
10,Ay Mi Dios,IAmChino,9079,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-03-06,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,26629,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-03-13,ec
2,Shape of You,Ed Sheeran,24038,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-13,ec
3,El Amante,Nicky Jam,16297,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-03-13,ec
4,Me Rehúso,Danny Ocean,16250,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-03-13,ec
5,SUBEME LA RADIO,Enrique Iglesias,13729,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-03-13,ec
6,Reggaetón Lento (Bailemos),CNCO,12497,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-03-13,ec
7,Otra Vez (feat. J Balvin),Zion & Lennox,12036,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-03-13,ec
8,Chantaje,Shakira,10765,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-03-13,ec
9,Vacaciones,Wisin,9335,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-03-13,ec
10,La Rompe Corazones,Daddy Yankee,9019,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-03-13,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,24182,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-03-20,ec
2,Shape of You,Ed Sheeran,22965,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-20,ec
3,Me Rehúso,Danny Ocean,17302,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-03-20,ec
4,El Amante,Nicky Jam,14787,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-03-20,ec
5,SUBEME LA RADIO,Enrique Iglesias,13381,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-03-20,ec
6,Reggaetón Lento (Bailemos),CNCO,11996,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-03-20,ec
7,Otra Vez (feat. J Balvin),Zion & Lennox,11313,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-03-20,ec
8,Chantaje,Shakira,9560,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-03-20,ec
9,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,8688,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2017-03-20,ec
10,La Rompe Corazones,Daddy Yankee,8676,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-03-20,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,22630,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-03-27,ec
2,Shape of You,Ed Sheeran,21626,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-27,ec
3,Me Rehúso,Danny Ocean,17535,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-03-27,ec
4,SUBEME LA RADIO,Enrique Iglesias,14391,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-03-27,ec
5,El Amante,Nicky Jam,14364,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-03-27,ec
6,Reggaetón Lento (Bailemos),CNCO,11516,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-03-27,ec
7,Otra Vez (feat. J Balvin),Zion & Lennox,11204,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-03-27,ec
8,Chantaje,Shakira,9356,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-03-27,ec
9,La Rompe Corazones,Daddy Yankee,8900,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-03-27,ec
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,8819,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2017-03-27,ec
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,18696,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-04-03,ec
2,Shape of You,Ed Sheeran,18514,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-03,ec
3,Me Rehúso,Danny Ocean,16263,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-04-03,ec
4,El Amante,Nicky Jam,12806,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-04-03,ec
5,SUBEME LA RADIO,Enrique Iglesias,12773,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-04-03,ec
6,Otra Vez (feat. J Balvin),Zion & Lennox,10041,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-04-03,ec
7,Reggaetón Lento (Bailemos),CNCO,8864,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-04-03,ec
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,8334,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2017-04-03,ec
9,La Rompe Corazones,Daddy Yankee,8064,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-04-03,ec
10,Chantaje,Shakira,7974,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-04-03,ec
1,Shape of You,Ed Sheeran,19896,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-10,ec
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,19686,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-04-10,ec
3,Me Rehúso,Danny Ocean,18137,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-04-10,ec
4,El Amante,Nicky Jam,13764,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-04-10,ec
5,SUBEME LA RADIO,Enrique Iglesias,13367,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-04-10,ec
6,Otra Vez (feat. J Balvin),Zion & Lennox,10766,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-04-10,ec
7,Reggaetón Lento (Bailemos),CNCO,9807,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-04-10,ec
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,9247,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,2017-04-10,ec
9,La Rompe Corazones,Daddy Yankee,8760,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,2017-04-10,ec
10,Sigo Extrañándote,J Balvin,8679,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,2017-04-10,ec
1,Despacito - Remix,Luis Fonsi,21030,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-04-17,ec
2,Shape of You,Ed Sheeran,20437,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-17,ec
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,20242,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-04-17,ec
4,Me Rehúso,Danny Ocean,19172,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-04-17,ec
5,SUBEME LA RADIO,Enrique Iglesias,13767,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-04-17,ec
6,El Amante,Nicky Jam,13499,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-04-17,ec
7,Otra Vez (feat. J Balvin),Zion & Lennox,11481,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-04-17,ec
8,Báilame,Nacho,10422,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-04-17,ec
9,Reggaetón Lento (Bailemos),CNCO,9821,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-04-17,ec
10,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,9696,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,2017-04-17,ec
1,Despacito - Remix,Luis Fonsi,20044,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-04-24,ec
2,Me Rehúso,Danny Ocean,19655,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2017-04-24,ec
3,Shape of You,Ed Sheeran,18728,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-04-24,ec
4,Despacito (Featuring Daddy Yankee),Luis Fonsi,16384,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-04-24,ec
5,Felices los 4,Maluma,15044,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-04-24,ec
6,Báilame,Nacho,13976,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-04-24,ec
7,SUBEME LA RADIO,Enrique Iglesias,13764,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-04-24,ec
8,El Amante,Nicky Jam,13351,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-04-24,ec
9,Otra Vez (feat. J Balvin),Zion & Lennox,10793,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-04-24,ec
10,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,10694,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,2017-04-24,ec
1,Felices los 4,Maluma,24729,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-05-01,ec
2,Me Rehúso,Danny Ocean,22461,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,2017-05-01,ec
3,Shape of You,Ed Sheeran,20001,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-01,ec
4,Despacito - Remix,Luis Fonsi,19617,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-05-01,ec
5,Despacito (Featuring Daddy Yankee),Luis Fonsi,17925,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-05-01,ec
6,Báilame,Nacho,16612,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-05-01,ec
7,SUBEME LA RADIO,Enrique Iglesias,15635,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-05-01,ec
8,El Amante,Nicky Jam,14993,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-05-01,ec
9,Hey DJ,CNCO,13719,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2017-05-01,ec
10,Escápate Conmigo,Wisin,13510,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-05-01,ec
1,Felices los 4,Maluma,29817,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-05-08,ec
2,Me Rehúso,Danny Ocean,21262,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,2017-05-08,ec
3,Shape of You,Ed Sheeran,18157,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-08,ec
4,Báilame,Nacho,17232,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-05-08,ec
5,Despacito - Remix,Luis Fonsi,15461,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-05-08,ec
6,Hey DJ,CNCO,14486,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2017-05-08,ec
7,Escápate Conmigo,Wisin,13719,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-05-08,ec
8,Despacito (Featuring Daddy Yankee),Luis Fonsi,13558,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-05-08,ec
9,SUBEME LA RADIO,Enrique Iglesias,13323,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-05-08,ec
10,El Amante,Nicky Jam,13128,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-05-08,ec
1,Felices los 4,Maluma,28691,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-05-15,ec
2,Me Rehúso,Danny Ocean,20651,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,2017-05-15,ec
3,Báilame,Nacho,17644,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-05-15,ec
4,Shape of You,Ed Sheeran,17550,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-15,ec
5,Hey DJ,CNCO,14908,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2017-05-15,ec
6,Escápate Conmigo,Wisin,13834,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-05-15,ec
7,Despacito - Remix,Luis Fonsi,13284,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-05-15,ec
8,Despacito (Featuring Daddy Yankee),Luis Fonsi,13188,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-05-15,ec
9,El Amante,Nicky Jam,12422,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,2017-05-15,ec
10,SUBEME LA RADIO,Enrique Iglesias,12268,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,2017-05-15,ec
1,Felices los 4,Maluma,28358,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,2017-05-22,ec
2,Me Rehúso,Danny Ocean,20632,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,2017-05-22,ec
3,Báilame,Nacho,17773,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,2017-05-22,ec
4,Shape of You,Ed Sheeran,16592,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-05-22,ec
5,Hey DJ,CNCO,15295,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl,2017-05-22,ec
6,Una Lady Como Tú,Manuel Turizo,14861,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2017-05-22,ec
7,Escápate Conmigo,Wisin,14855,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-05-22,ec
8,Despacito - Remix,Luis Fonsi,13213,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-05-22,ec
9,Ahora Dice,Chris Jeday,12382,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2017-05-22,ec
